DisplayName,Title,Summary,Featured,EventStartDate,EventEndDate,EventStartTime,EventEndTime,AllDayEvent,DefaultImage,Details,Location,LinkTitle,LinkURL,OnlineEventLinkTitle,OnlineEventLink
Doctoral Candidacy Orientation,Doctoral Candidacy Orientation,A required orientation session for doctoral students in the Candidacy stage.,N,11/6/24,11/6/24,4:30 PM,6:00 PM,,Y,"Doctoral candidates will learn about CIRTL, RCR, ethics, forms, committees and more during this orientation. Doctoral students required to attend will receive an email two weeks before the session with registration information.",Denman Ballroom (SU 2.01.28),Registration:,https://utsa.az1.qualtrics.com/jfe/form/SV_aeMIXTG17AyaDWK,,
Downtown Networking Event,Downtown Networking Event,A monthly networking event for grad students at the Downtown Campus to build community.,N,11/7/24,11/7/24,4:30 PM,6:00 PM,,Y,A monthly networking event for grad students at the Downtown Campus to build community.,Durango Building (DB 1.116),,,,
Workshop: How to Form a Committee,Workshop: How to Form a Committee,Learn how to form your dissertation committees ias a doctoral student.,N,11/13/24,11/13/24,12:00 PM,1:00 PM,,Y,Doctoral students will learn about forming their dissertation committees in this exclusive workshop.,Pecan Room (SU 2.01.26),Registration:,https://utsa.az1.qualtrics.com/jfe/form/SV_78aQrLQHkbuuZ5I,,
Career Pathways: National Perspectives,Career Pathways: National Perspectives,Gain career advice from San Antonio business leaders.,N,11/14/24,11/14/24,12:00 PM,1:00 PM,,Y,"Veronica Salazar,  Executive Vice President for Business Affairs and Chief Enterprise Development Officer at The University of Texas at San Antonio and Karl Miller Lugo, Vice President for Advancement and Alumni Engagement at the University of Texas at San Antonio share their stories, insights, and perspectives as business leaders in higher education.",Virtual,Registration:,https://utsa.zoom.us/meeting/register/tJwlcO6vrjoqH9UwjC4gO1MXdpDF0DVWXqGX,,
Leveraging Adobe to Creative Visually Stimulating Content for Graduate Courses and Beyond,Leveraging Adobe to Creative Visually Stimulating Content for Graduate Courses and Beyond,Training session for graduate students covering Adobe basic tools for academic success.,N,11/19/24,11/19/24,12:00 PM,1:00 PM,,Y,"During this training session we will learn how to create effective posters in Adobe Illustrator. You will learn how to use the basic tools, how to import graphs, charts and images, and how to make your poster stand out from others during a poster presentation session. You will also learn how to add text, images, and effects to your posters, and how to export them for printing or online use. By the end of this training session, you will be able to: � Understand the basic tools and features of Adobe Illustrator � Layout posters with text, images, and graphics � Increase the impact of your printed materials � Export posters for printing or online use",JPL Assembly Room,,,,
Workshop: Abstract and Poster Prep,Workshop: Abstract and Poster Prep,Learn how to prepare research abstracts and posters in this workshop for doctoral students.,N,11/20/24,11/20/24,12:00 PM,1:00 PM,,Y,Doctoral students will receive assistance and tips for best practices for abstracts/research posters.,Pecan Room (SU 2.01.26),Registration:,https://utsa.az1.qualtrics.com/jfe/form/SV_8BA1Zcoe9Mn2anc,,
CIRTL Meeting,CIRTL Meeting,"Monthly Center for the Integration of Research, Teaching, and Learning (CIRTL) Meeting",N,11/21/24,11/21/24,12:00 PM,1:00 PM,,Y,Monthly CIRTL Meeting,TBD,,,,
Graduate Council Meeting,Graduate Council Meeting,Monthly Graduate Council meeting,N,12/3/24,12/3/24,3:30 PM,5:00 PM,,Y,Monthly graduate council meeting from 3:30-5 pm,JPL Assembly Room,,,,
Downtown Events Recap,Downtown Events Recap,Review of Staged Orientation offerings from November for doctoral students.,N,12/3/24,12/3/24,4:30 PM,5:30 PM,,,Review of Staged Orientation offerings from November for doctoral students.,,,,,
Cultivation of Your Mentoring Network,Cultivation of Your Mentoring Network,Discover how to build a mentorship plan to reach your goals.,N,12/4/24,12/4/24,12:00 PM,1:00 PM,,Y,Identify your needs and create a plan to build a mentoring community/network to support your short and long-term goals. Self-assessment and identify your career goals to create an IDP.,Willow Room (SU 2.02.12),,,,
