DisplayName,Title,Summary,Featured,EventStartDate,EventEndDate,EventStartTime,EventEndTime,AllDayEvent,DefaultImage,Details,Location,LinkTitle,LinkURL,OnlineEventLinkTitle,OnlineEventLink
Doctoral Orientation: Dissertation,Doctoral Orientation: Dissertation,"Orientation for doctoral students discussing dissertation requirements, available workshops, formatting and submission methods and library training. ",N,9/24/25,9/24/25,4:00 PM,5:00 PM,N,Y,"Orientation for eligible doctoral students discussing dissertation requirements, available workshops, formatting and submission methods and library training. Students will be notified via their UTSA email address if required to attend.",H-E-B Student Union 1.102- Bexar Room,Register Now,https://utsa.campuslabs.com/engage/event/11313094,,
CIRTL Monthly Meeting,CIRTL Monthly Meeting,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",N,9/25/25,9/25/25,12:00 PM,1:00 PM,N,Y,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",Virtual (Zoom),,,Register Now,https://utsa.zoom.us/meeting/register/BeurTpfMTsOykGS-3tlyqw
Downtown Campus Networking Event,Downtown Campus Networking Event,Graduate students and postdocs are invited to join us at our Downtown Campus Networking event to develop a professional network and build a community with their peers. ,N,10/2/25,10/2/25,4:30 PM,6:00 PM,N,Y,"Graduate students and postdocs are invited to join us at our Downtown Campus Networking event to develop a professional network, build a community with their peers and learn about university resources. ",Durango Building  1.116 - La Villita Room ,Register Now,https://utsa.campuslabs.com/engage/event/11347841,,
First Friday,First Friday,This signature Graduate School event at the Main Campus is a great place to network with fellow graduate students and learn about resources.,N,10/3/25,10/3/25,9:00 AM,11:00 AM,N,Y,This signature Graduate School event is a great place to network with fellow graduate students and grab complimentary coffee and donuts. You will also receive information regarding Graduate School resources for your professional and career development.,Student Union 2.01.28 - Denman,Register Now,,,
Postdoctoral Affairs Seminar Series: Navigating the Postdoc Evaluation Process,Postdoctoral Affairs Seminar Series: Navigating the Postdoc evaluation Process,This session for postdoctoral fellows will feature a guest speaker who will discuss the annual evaluation process at the university.,N,10/6/25,10/6/25,12:00 PM,1:00 PM,N,Y,This session for postdoctoral fellows will feature a guest speaker who will discuss the annual evaluation process at the university.,Virtual (Zoom),,,Register Now,https://utsa.zoom.us/meeting/register/qP5qdm7IQt-Kjtpp_X38jw
Art for Wellness: Graduate Student Wellbeing Through Painting,Art for Wellness: Graduate Student Wellbeing Through Painting,This event offers graduate students a chance to explore their creativity and unwind through art. ,N,10/8/25,10/8/25,3:00 PM,5:00 PM,N,Y,"This event offers graduate students a chance to explore their creativity and unwind through art. Whether you want to relax, express yourself or simply recharge, this painting workshop provides a welcoming space for personal reflection and connection. No prior art experience is required—just bring your curiosity and an open mind! Art supplies will be provided.",Graduate Studies and Research Building Courtyard,Register Now,https://utsa.campuslabs.com/engage/event/11266891,,
Career Pathways Within Higher Education,Career Pathways Within Higher Education,This panel discussion will allow grad students and postdocs to explore the wide range of fulfilling career opportunities available within higher education.,N,10/9/25,10/9/25,12:00 PM,1:00 PM,N,Y,"Are you passionate about making an impact in academia, research or university administration but unsure which path to pursue? This panel discussion will shed light on the wide range of fulfilling career opportunities available within higher education. Explore various roles, gain insight into the skills and qualifications needed for success and learn how to strategically plan your professional journey.",Virtual (Zoom),,,Register Now,https://utsa.zoom.us/meeting/register/WxRm0sBdRLCXh0tK9_aZHw
Dissertation Weekend Warriors - STEM,Dissertation Weekend Warriors - STEM,Join the Graduate School for our Dissertation Weekend Warrior (DWW) program for STEM doctoral students.,N,10/11/25,10/11/25,9:30 AM,3:30 PM,N,Y,"Join the Graduate School for our Dissertation Weekend Warrior (DWW) program for STEM doctoral students who are preparing to enter the dissertation phase or who are in the early stages of writing their dissertation. The DWW program prepares doctoral students through an in-person, engaged and in-depth approach led by subject-matter experts from across Roadrunner Nation. For more info, contact gps@utsa.edu.",John Peace Library 4.04.22 - Assembly Room ,Register Now,https://utsa.campuslabs.com/engage/event/11346668,,
Professional and Career Development 2: Leadership 101,Professional and Career Development 2: Leadership 102,"Part of our Professional and Career Development series, join us to learn how to improve your leadership skills.",N,10/15/25,10/15/25,12:00 PM,1:00 PM,N,Y,"Explore the core principles of effective leadership—integrity, transparency, inclusivity and respect—in this interactive session. Learn to distinguish between managers and leaders and discover how empowerment shapes impactful leadership.
Through guided breakout activities, participants will:
1.	Define leadership in their own words
2.	Reflect on examples of effective vs. ineffective leadership
3.	Begin crafting a personal leadership philosophy
Students who attend four out of six Professional and Career Development sessions will earn a microcredential badge.",Student Union 2.02.12 - Willow Room ,Register Now,https://utsa.campuslabs.com/engage/event/11315369,,
Doctoral Orientation: Launch,Doctoral Orientation: Launch,"Orientation for doctoral students in their first semester that will cover academic milestones, requirements and Graduate School resources.",N,10/15/25,10/15/25,3:30 PM,5:00 PM,N,Y,"Orientation for doctoral students in their first semester that will cover academic milestones, requirements and Graduate School resources. Students will be notified via their UTSA email address if required to attend.",Student Union 2.01.28 - Denman,,,,
Professional and Career Development: Get to know your College,Professional and Career Development: Get to know your College,This interactive session is designed to help master's students get acquainted with Graduate School and their academic college. ,N,10/21/25,10/21/25,12:00 PM,1:00 PM,N,Y,"This interactive session is designed to help master's students get acquainted with Graduate School and their academic college. Topics include job search strategies, funding opportunities, adjusting to graduate life and peer mentoring with PhD students.",H-E-B Student Union 2.212 - Harris Room ,Register Now,https://utsa.campuslabs.com/engage/event/11315432,,
Effective Mentorship,Effective Mentorship,Discover how to build strong mentor-mentee relationships that support success in graduate school and career development.,N,10/22/25,10/22/25,12:00 PM,1:00 PM,N,Y,"Discover how to build strong mentor-mentee relationships that support success in graduate school and career development. Participants will also learn how to get the most out of mentorship—whether they're a mentor or mentee—and why these relationships are essential to thriving in academic and professional settings.
",H-E-B Student Union 2.202- Travis Room ,Register Now,https://utsa.campuslabs.com/engage/event/11315434,,
3MT Competition,3MT Competition,The Three-Minute Thesis (3MT®) is a competition that provides graduate and doctoral students with the opportunity to showcase their scholarly work or research in three minutes or less.,N,10/23/25,10/23/25,9:00 AM,1:00 PM,N,Y,The Three-Minute Thesis (3MT®) is a competition that provides graduate and doctoral students with the opportunity to showcase their scholarly work or research in three minutes or less. Stop by to listen to your peers' presentations and vote for People's Choice!,Student Union 2.02.02 - Retama Auditorium ,,,,
Cultivation of Mentoring Networks,Cultivation of Mentoring Networks,"In this hands-on seminar for grad students and postdocs, participants will identify their career goals and learn how to build and expand a mentoring network to support both short and long-term aspirations.",N,10/29/25,10/29/25,12:00 PM,1:00 PM,N,Y,"In this hands-on seminar for grad students and postdocs, participants will identify their career goals and learn how to build and expand a mentoring network to support both short and long-term aspirations. The session also includes a guided self-assessment to help you create an Individual Development Plan (IDP) with CIMER-certified mentor Dr. Madhumita Joshi.",H-E-B Student Union 2.202- Travis Room ,Register Now,https://utsa.campuslabs.com/engage/event/11315464,,
CIRTL Monthly Meeting,CIRTL Monthly Meeting,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",N,10/30/25,10/30/25,12:00 PM,1:00 PM,N,Y,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",Virtual (Zoom),,,Register Now,https://utsa.zoom.us/meeting/register/BQN_oOaQT0SE2ENtQxr55w
Recharge and Restore: Yoga for Graduate Students,Recharge and Restore: Yoga for Graduate Students,"This session is designed to help you unwind, recharge and restore your mind and body through gentle yoga and mindfulness practices. ",N,11/5/25,11/5/25,3:00 PM,4:00 PM,N,Y,"This session is designed to help you unwind, recharge and restore your mind and body through gentle yoga and mindfulness practices. Whether you're feeling the stress of deadlines or just need a moment of calm, this yoga event offers a supportive space to reconnect with yourself and take a well-deserved break from the demands of graduate life.",Recreation and Wellness Center 2.228- REC Studio ,,,,
Downtown Campus Networking Event,Downtown Campus Networking Event,Join us at our Downtown Campus Networking event  to develop a professional network and build a community with your peers. ,N,11/6/25,11/6/25,4:30 PM,6:00 PM,N,Y,"Graduate students and postdocs are invited to join us at our Downtown Campus Networking event to develop a professional network, build a community with their peers and learn about university resources. ",Durango Building  1.116 - La Villita Room ,Register Now,https://utsa.campuslabs.com/engage/event/11347848,,
First Friday,First Friday,This signature Graduate School event at the 1604 campus is a great place to network with fellow graduate students and learn about resources.,N,11/7/25,11/7/25,9:00 AM,11:00 AM,N,Y,This signature Graduate School event is a great opportunity to network with fellow graduate students while enjoying complimentary coffee and donuts. You will also receive information about Graduate School resources for your professional and career development.,Student Union 2.01.28 - Denman ,,,,
Doctoral Orientation: Candidacy,Doctoral Orientation: Candidacy,"Doctoral candidates will learn about CIRTL, RCR, ethics, forms, committees and more during this orientation. ",N,11/12/25,11/12/25,3:30 PM,5:00 PM,N,Y,"Doctoral candidates will learn about CIRTL, RCR, ethics, forms, committees and more during this orientation. Students will be notified via their UTSA email address if required to attend.",Student Union 2.01.24- Mesquite Room ,Register Now,https://utsa.campuslabs.com/engage/event/11316337,,
Hidden Curriculum: Navigating U.S. Graduate School as an International Master's Student,Hidden Curriculum: Navigating U.S. Graduate School as an International Master's Student,"During this workshop, graduate students and postdocs will uncover the 'invisible' aspects of higher education—like networking, communicating with faculty, navigating academic resources and practicing professional etiquette.",N,11/13/25,11/13/25,12:00 PM,1:00 PM,N,Y,"During this workshop, graduate students and postdocs will uncover the 'invisible' aspects of higher education—like networking, communicating with faculty, navigating academic resources and practicing professional etiquette. This session is designed to leave participants feeling confident, prepared and empowered to thrive in their graduate journeys.
",Virtual (Zoom),,,,
Professional and Career Development 3: Leveraging Adobe to Creative Visually Stimulating Content for Scientific Publications and Beyond,Professional and Career Development 3: Leveraging Adobe to Creative Visually Stimulating Content for Scientific Publications and Beyond,Training session for graduate students covering Adobe basic tools for academic success.,N,11/19/25,11/19/25,12:00 PM,1:00 PM,N,Y,"During this training session, grad students and postdocs will learn how to create effective posters in Adobe Illustrator. You will learn how to use basic tools, import graphs, charts and images and how to make your poster stand out during a poster presentation session. By the end of this training session, you will be able to:

-Understand the basic tools and features of Adobe Illustrator
-Layout posters with text, images, and graphics
-Increase the impact of your printed materials
-Export posters for printing or online use",Student Union 2.02.12 - Willow Room,Register Now,https://utsa.campuslabs.com/engage/event/11316467,,
CIRTL Monthly Meeting,CIRTL Monthly Meeting,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",N,12/1/25,12/1/25,12:00 PM,1:00 PM,N,Y,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",Virtual (Zoom),,,Register Now,https://utsa.zoom.us/meeting/register/a_CFd8CRQBCe6waRrBu_CQ
