DisplayName,Title,Summary,Featured,EventStartDate,EventEndDate,EventStartTime,EventEndTime,AllDayEvent,DefaultImage,Details,Location,LinkTitle,LinkURL,OnlineEventLinkTitle,OnlineEventLink
CIRTL Meeting,CIRTL Meeting,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",N,2/20/25,2/20/25,12:00 PM,1:00 PM,N,Y,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/z8oscQIOQjOtJdYSl3OQ4A
Dissertation Completion Orientation,Dissertation Completion Orientation,"The Dissertation Completion doctoral orientation covers dissertation requirements, available workshops, formatting and submission methods, and library training.",N,2/26/25,2/26/25,4:00 PM,5:00 PM,N,Y,"The Dissertation Completion doctoral orientation covers dissertation requirements, available workshops, formatting and submission methods, and library training.",Student Union 2.01.24 -Mesquite,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_aa4hWiAZW4cDPng
Dissertation Weekend Warriors,Dissertation Weekend Warriors,Join the Graduate School for our Dissertation Weekend Warrior (DWW) program for doctoral students.,N,3/1/25,3/1/25,9:30 AM,3:30 PM,N,Y,"Join the Graduate School for our Dissertation Weekend Warrior (DWW) program for doctoral students. The DWW program is designed to prepare doctoral students to enter the dissertation manuscript writing process through an in-person, engaged, and in-depth approach led by subject-matter experts from across Roadrunner Nation. For more info, contact gps@utsa.edu. ",John Peace Library 4.04.22 - Assembly Room,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_6tAJCLz12XUyI74
Postdoctoral Association Monthly Meeting,Postdoctoral Association Monthly Meeting,SciPhD group will train postdoctoral fellows and graduate students to conduct a job search and use Flamingo software.,N,3/3/25,3/3/25,12:00 PM,1:00 PM,N,Y,SciPhD group will train postdoctoral fellows and graduate students to conduct a job search and use Flamingo software.,Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/YMApv0M7TjSMsYQ4cFpsSw
Doctoral Workshop: IDP/Annual Review,Doctoral Workshop: IDP/Annual Review,"Doctoral students, meet with the Retention and Graduation Coordinator team to discuss tips and strategies to complete your annual review and IDP.",N,3/5/25,3/5/25,10:00 AM,11:30 AM,N,Y,"Doctoral students, meet with the Retention and Graduation Coordinator team to discuss tips and strategies to complete your annual review and IDP.",Student Union 2.01.26 - Pecan,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_6QlssaQaYPZRNZA
Professional and Career Development Session 5: How to Search for Funding and Start Your Application,Professional and Career Development Session 5: How to Search for Funding and Start Your Application,Grad students and postdocs will learn how to find funding and application best practices in this grant writing seminar.,N,3/5/25,3/5/25,12:00 PM,1:00 PM,N,Y,"Grad students and postdocs will learn how to find funding and application best practices in this grant writing seminar presented by Julia Wolf, Senior Grant Development Manager at UTSA.",Student Union 2.02.12 - Willow/Zoom,,,,In person: https://utsa.az1.qualtrics.com/jfe/form/SV_0lxvOE6q3DHqpym Virtual: https://utsa.zoom.us/meeting/register/yJlcnHedR66h-vEIjmurkA
Downtown Campus Networking Event,Downtown Campus Networking Event,Join us at our Downtown Campus Networking event to develop a professional network and build a community with your peers. ,N,3/6/25,3/6/25,4:30 PM,6:00 PM,N,Y,Join us at our Downtown Campus Networking event! This is a perfect opportunity for graduate students and postdocs to develop a professional network and cand build a community with their peers. We look forward to seeing you there.,Durango Building 1.116 - La Villita ,,,,Coming Soon.
First Friday,First Friday,This signature Graduate School event at the UTSA 1604 campus is a great place to network with fellow graduate students and learn about resources.,N,3/7/25,3/7/25,9:00 AM,11:00 AM,N,Y,This signature Graduate School event is a great place to network with fellow graduate students and grab complimentary coffee and donuts.You will also receive information regarding Graduate School resources for your professional and career development.,Student Union 2.01.28 - Denman Ballroom ,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_bDv0SCcjmWUO3UG
Tabling: Microcredentialing,Tabling: Microcredentialing,"Doctoral students, stop by to learn more about microcredentials",N,3/19/25,3/19/25,10:00 AM,11:30 AM,N,Y,"Doctoral students, stop by to learn more about microcredentials offered by the Graduate School.",Outside of G.R.A.D. Space (MS 2.02.46),,,,N/A
Career Pathways: Career Trajectories,Career Pathways: Career Trajectories,Our guest speaker will help attendees learn about potential careers and industries in their field of study.,N,3/26/25,3/26/25,12:00 PM,1:00 PM,N,Y,"Our guest speaker will help attendees learn about potential careers and industries in their field of study. Attendees will also gain exposure to different professional opportunities, connect education with careers, and receive a realistic picture of their occupation outside academia.",Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/YgWWB1kURTShjGuh_NBqmw
Doctoral Workshop: IDP/Annual Review (afternoon),Workshop: IDP/Annual Review (afternoon),Doctoral students will meet with the Retention and Graduation Coordinator team to discuss tips and strategies to complete their annual review and IDP.,N,3/27/25,3/27/25,3:30 PM,5:00 PM,N,Y,Doctoral students will meet with the Retention and Graduation Coordinator team to discuss tips and strategies to complete their annual review and IDP.,Pecan Room (SU 2.01.26),,,,https://utsa.az1.qualtrics.com/jfe/form/SV_89b9lTkIEizrBnU
Professional and Career Development Session 6: Preparing for an Academic Career,Professional and Career Development Session 6: Preparing for an Academic Career,Panel discussion with successful leaders in academia for grad students and postdocs.,N,4/2/25,4/2/25,12:00 PM,1:00 PM,N,Y,Panel discussion with successful leaders in academia for grad students and postdocs. Attendees will be able to participate in an informational interview and gain professional insights to make career decisions. ,Student Union 2.02.12 - Willow/Virtual,,,,"In Person: https://utsa.az1.qualtrics.com/jfe/form/SV_bd8u4s45q3FfzxQ 
Virtual: https://utsa.zoom.us/meeting/register/ezfWGsoERBCEZF9eqORn-Q"
Graduate Student Appreciation Week (GSAW): Kick-off,Graduate Student Appreciation Week (GSAW): Kick-off,Details coming soon.,N,4/7/25,4/7/25,11:00 AM,1:00 PM,N,Y,Details coming soon.,Student Union - Denman Ballroom (SU 2.01.28),,,,Coming Soon.
Graduate Student Appreciation Week (GSAW): Symposium,Graduate Student Appreciation Week (GSAW): Symposium,"Our GSAW Research Symposium includes lunch, a poster presentation competition and keynote speaker. ",N,4/8/25,4/8/25,8:00 AM,5:00 PM,N,Y,"Our GSAW Research Symposium includes lunch, a poster presentation competition and keynote speaker. Faculty, staff, and students are welcome to attend and review the exceptional research UTSA's best and brightest are conducting.",H-E-B Ballrooms (HSU 1.101),,,,Coming Soon.
Graduate Student Appreciation Week (GSAW): Downtown Campus Networking Event,Graduate Student Appreciation Week (GSAW): Downtown Campus Networking Event,Join us at our Downtown Campus Networking event during GSAW to develop a professional network and build a community with your peers. ,N,4/9/25,4/9/25,4:30 PM,6:00 PM,N,Y,Join us at our Downtown Campus Networking event during GSAW! This is a perfect opportunity for graduate students and postdocs to develop a professional network and build a community with their peers. We look forward to seeing you there.,Buena Vista Building - Assembly Room (BVB 1.338),,,,https://utsa.az1.qualtrics.com/jfe/form/SV_07CORRotnaDKXY2
Graduate Student Appreciation Week (GSAW): First Friday,Graduate Student Appreciation Week (GSAW): First Friday,This signature Graduate School event at the UTSA 1604 campus is a great place to network with fellow graduate students and learn about resources.,N,4/10/25,4/10/25,9:00 AM,11:00 AM,N,Y,This signature Graduate School event is a great place to network with fellow graduate students and grab complimentary coffee and donuts.You will also receive information regarding Graduate School resources for your professional and career development.,Graduate Studies and Research Building (GSR) Courtyard,,,,Coming Soon.
CIRTL Meeting,CIRTL Meeting,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",N,4/14/25,4/15/25,12:00 PM,1:00 PM,N,Y,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/Ig2JYcNCQp6U99KFK7zMYw
IDP Annual Review Drop-In Party,IDP Annual Review Drop-In Party,IDP/Annual Review drop-in session for doctoral students to ask questions about completing their Annual Review and IDP.,N,4/23/25,4/23/25,10:00 AM,11:30 AM,N,Y,IDP/Annual Review drop-in session for doctoral students to ask questions about completing their Annual Review and IDP.,G.R.A.D. Space (MS 2.02.46),,,,https://utsa.az1.qualtrics.com/jfe/form/SV_aXE7rea5Tkx27eS
IDP Annual Review Drop-In Party,IDP Annual Review Drop-In Party,IDP/Annual Review drop-in session for doctoral students to ask questions about completing their Annual Review and IDP.,N,4/23/25,4/23/25,3:30 PM,5:00 PM,N,Y,IDP/Annual Review drop-in session for doctoral students to ask questions about completing their Annual Review and IDP.,G.R.A.D. Space (MS 2.02.46),,,,https://utsa.az1.qualtrics.com/jfe/form/SV_aXE7rea5Tkx27eS
Career Pathways: National Perspectives,Career Pathways: National Perspectives,"Our National Perspectives guest speaker(s) will share their career path, the skills required for the job and industry, and expectations of their role(s). ",N,4/24/25,4/24/25,12:00 PM,1:00 PM,N,Y,"Our National Perspectives guest speaker(s) will share their career path, the skills required for the job and industry, and expectations of their role(s). The discussion will also cover the importance of networking within your career field and our speakers will share inspiring insider knowledge.",Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/DV8rRgIdQ7WRqredo3P5Kw
Postdoctoral Association Monthly Meeting,Postdoctoral Association Monthly Meeting,For current postdocs to plan upcoming postdoctoral resource development.,N,5/5/25,5/5/25,12:00 PM,1:00 PM,N,Y,For current postdocs to plan upcoming postdoctoral resource development and Postdoctoral Appreciation Week.,Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/T_Qs-go_QNW8BuJJF6DFTg
Doctoral Conferral Ceremony,Doctoral Conferral Ceremony,Doctoral Conferral Ceremony for all graduating Spring 2025 doctoral candidates.,N,5/15/25,5/16/25,6:00 PM,8:00 PM,N,Y,Doctoral Conferral Ceremony for all graduating Spring 2025 doctoral candidates.,Art Building 2.03.02B - Music Recital Hall ,,,,Registration is available through One Stop when candidates apply for graduation.
