PosterID,TeamName,ProjectTitle,ProjectAbstract,SponsorName
17,Munavella Group Engineers,Cooling Bench,"San Antonio's extreme summer heat creates unsafe conditions for people waiting at bus stops and other public outdoor spaces. Our team is developing a Cooling Bench that leverages the city's district cooling water network to provide localized relief. The bench incorporates a compact heat exchanger and tubing system to circulate chilled water beneath the surface, drawing heat away from the body while moderating surrounding air temperature. Current efforts focus on thermal load estimation, hydraulic integration, surface temperature management to prevent condensation, and finite element thermal analysis to evaluate material performance, with the goal of delivering a scalable, community-focused solution for urban heat mitigation.","Anna Morton Rivera, P.E. - UT San Antonio"
18,Nueva Engineering,Cooling Bus Stop Station/Cooling Unit,"To combat extreme heat exposure for San Antonio's public transit riders, Nueva Engineering is developing an innovative, energy-efficient cooling bus stop. In partnership with SAWS, VIA, COSA, and UTSA, our design provides direct thermal relief by integrating a unique hydronic cooling system. This system leverages the city's existing SAWS chilled water return line, routing the chilled water directly to an air handler unit. A centrifugal blower forces ambient air across the heat exchanger, and the cooled air is then distributed to passengers through a vent system. An occupancy-based control system ensures low energy consumption.",UTSA
19,Nefario Labs,Dynamic and Adaptive Big Gun Irrigation System,"The Dynamic and Adaptive Big Gun Pivot Irrigation System aims to modernize agricultural irrigation by replacing the fixed Big Gun sprinkler with a modular, automated design. The system dynamically adjusts spray angle, range, and pressure based on field conditions to optimize water use and improve crop yield. Designed for compatibility with existing center pivot systems, the prototype integrates servo-driven components for precision control and durability in outdoor environments. This innovation seeks to reduce water waste and energy consumption while preparing for future AI-based automation in smart farming.",Hatch Tank
20,V2R Engineering ,Dynamic and Adaptive Autonomous Big Gun Crop Irrigation Sprinkler System,"This project proposes the development of an autonomous traveling irrigator that combines adaptive spray control with automated mobility. By integrating AI Imagery Identification, control algorithms, and a mobile platform, the system will deliver water more precisely and efficiently, responding in real time to field conditions. The goal is to create a next-generation irrigation solution that reduces water and energy use by at least 10%, improves crop coverage, and remains cost-effective and compatible with existing farm infrastructure.",Hatch Tank
21,BeaverWorks,DISCO Infrared Optics Purge System,"Dark interstellar molecular clouds are cold, dense, and UV-shielded yet sustain complex organic chemistry through barrierless reactions. Studying these processes requires custom chambers and FTIR setups, with purge boxes (PBs) enclosing sensors and optics while removing contaminants using nitrogen gas. Current PBs suffer from misalignment, poor chamber fit, and contamination during refills, reducing measurement accuracy. This project applies Continuous Product Improvement (CPI) to develop chamber-specific PBs that maintain functionality, minimize contamination, and improve usability. The resulting designs enhance sensor integration, sustain nitrogen purging, and enable more reliable, efficient laboratory measurements.",Southwest Research Institute
22,Ceramic Solutions,Functionally Graded Ceramic 3D Printer Setup,"This project is the development of an adaptive and automatic resin circulation system that will allow for liquid resin 3D printers to create multi material functionally graded ceramic prints with little to no human interaction. Modern printers struggle with printing ceramic based resins due to high viscosity and settling time, and also require manual cleaning when changing resin material, limiting the printer's efficiency. The proposed system will include a custom vat design with inlet and outlet ports, peristaltic pumps, a built in recoater, resin depth sensor, and controller to time and automate all functions. ",Dr. Kunal Kate
23,D.R.E.A.M,Compact Wind Tunnel,"The project aims to design, manufacture, and test a portable, low-cost wind tunnel for research and classroom demonstrations at UTSA. The system will control airflow velocity and temperature gradients to produce laminar or turbulent flows, incorporating visualization and data acquisition tools to measure temperature, velocity, drag, and lift. The test chamber will feature modular mounts for various artifacts and allow for future modifications, including vertical angling up to 90 degrees, ensuring flexibility and usability for aerodynamic experimentation.",Kunal Kate
24,Engineers for the People,Roll Set Side-Loading Rail and Motor-Driven System,"This project focuses on developing a side-loading roll handling system designed to enhance workplace safety and efficiency in industrial roll loading operations. The system eliminates the need for workers to manually guide or handle heavy rolls, reducing the risk of pinch, crush, and strain-related injuries. By integrating mechanical automation and safety-focused design, the project ensures precise roll alignment and streamlined operation. Simulation and testing confirmed improved load handling stability and worker protection, demonstrating the system's potential to significantly improve operational safety standards.","Steel Dynamics, Inc."
25,Filius Astraei,AQUILO,Modifications to an existing ultra-high vacuum chamber will be designed and built to perform tests on the PBR-10 water thruster. ,Southwest Research Institute
26,H.E.E.D. Engineering Solutions,Patient Cooling Tent,"There is a growing unmet need for effective, portable solutions to prevent and manage hyperthermia in high temperature environments such as emergency response, disaster relief, military operations, athletics, and outdoor labor. Current cooling methods are ice packs, fans, and shaded rest areas are often inadequate for rapidly reducing core body temperature in extreme heat or humidity. This project addresses this gap through the development of a portable cooling tent, designed to provide an enclosed, actively cooled environment for hyperthermia prevention and recovery.",UT Health
27,Ignis Luna,Reusable Pyrolysis Oven System for Regolith Processing (REPUR) ,"This project presents the design and development of a reusable pyrolysis oven system for thermal processing of planetary regolith to support future lunar and Martian missions. The system enables stepwise heating of regolith samples up to 1000 °C within a sealed cylindrical chamber capable of maintaining pressures down to 10⁻² hPa. The prototype integrates a pressure-resistant sealing mechanism, precision heating elements, and a manual removal system to allow multiple use cycles. Designed to meet NASA lunar mission constraints, the system minimizes mass and power consumption while enhancing operational efficiency, reusability, and sustainability for future flight applications.",Southwest Research Institute
28,JACKS Engineering Co.,Counterfeit Bolt Detection System,"Sandia National Laboratories often purchases bolts from outside suppliers, which creates the risk of counterfeit parts that could cause mechanical or safety failures. Existing testing methods are destructive, slow, and require large, expensive equipment. Our project focuses on designing a portable, non-destructive system that uses torque testing and computer vision to quickly verify if a bolt meets Sandia's specifications. The device measures bolt size, strength, and material properties to give a simple pass/fail result in under one minute. Lightweight and powered by a standard outlet, the system offers a fast and reliable way to detect counterfeit bolts.",Sandia National Laboratories 
29,NovaForge,Lunar Regolith Trenching Robot,"This project proposes the development of a vibro-mechanical lunar trenching system designed for autonomous cable deployment on the Moon. Adapting terrestrial vibratory plough technology, the system will address the challenges of the Moon's ultra-fine, dry regolith, low gravity, and extreme temperature fluctuations. Integrated into a single rover platform, the system combines a vibrating cutting blade, cable handling, autonomous navigation, and an active backfill mechanism. It will dig 5–10 cm-wide, 10–20 cm-deep trenches, lay up to 500 meters of Lunar cable, and restore the regolith in one continuous pass under simulated lunar conditions.",Astroport
30,OMEGA Dynamic Solutions ​,Multi-Directional Fatigue Testing Rig​,"This project focuses on developing a Multi-Directional Fatigue Testing Rig that replicates realistic biomechanical conditions for ACL Reconstruction studies. In ACL injuries, grafts are fixed within bone tunnels along the tibia and femur using orthopedic screws. However, current testing setups fail to mimic realistic physiological loading. The proposed rig securely holds tibia and bone block models from 0° to 120°, simulating knee flexion. Designed to endure cyclic loading while maintaining precise alignment and minimizing slippage, the system provides a reliable, controlled platform for evaluating ACL graft and Orthopedic Screws' strength and performance under realistic fatigue loading conditions.", Dr. Kunal Kate
31,Prometheus,Reheat Optimization,"The project focuses on developing a reversible reheat coil system in collaboration with Friedrich Air Conditioning. The design integrates a reheat coil as a secondary heat exchanger to improve indoor humidity control and overall system performance during high cooling or heating demand. The system operates in both refrigeration and heat pump modes using a reversing valve and solenoid-actuated flow control. It is fully compatible with Friedrich's existing manufacturing processes, utilizing standard copper tubing and components, while allowing automatic mode switching for higher BTU capacity and functionality.",Friedrich Air Co. (Rheem)
32,ReARM,T.A.L.O.S,"Wearable robotics is an emerging technology with vast potential. This senior design team, comprised of Sebastian Cabellero, Brandon Manz, Tamer Aljamal and Archer French in conjuncture with the ISABEL lab of UTSA, intend to present a multi-functional exoskeleton arm consisting of a shoulder with 2 active degrees of freedom (DoF), multiple passive DoF and an elbow with 1 DoF. It will be series elastic actuator (SEA) driven, with the intent to both amplify the wearers force/torque output, as well as, impede the wearers movement to combat maladaptive tissue remodeling in situations of deloading on the musculoskeletal system. This project will fully go towards ISABEL lab affiliates and future research.",Dr. Binghan He
33,Specter,"Visual Inspection, and Defect Classification ","The purpose of this project is to design, fabricate and test an inspection system that will allow a visual scan of the known defects of various metal parts of distinct shapes and lengths. Where it will then use the integrated imagine capture system paired with a trained AI algorithm to auto detect the future parts for defects, giving it an automatic inspection system. ","Self sponsored, Dr singh. "
34,The Alamo Mechanics,Motorized Podium Maneuvering System,This project is to design and create a motorized system to maneuver an anti-ballistic podium in a high stress crisis situation. The current issue is that existing products require manual movement and lack the mobility necessary for these situations. The solution is to create a system that will allow the podium to be maneuvered by a motor so that the user does not need to physically exert themselves while staying safely behind the podium. This will be intended to be used in most situations involving an active threat such as shootings.,David Malouff
35,Thermal Strategies,Furnace Camera Enclosure ,This project is the third iteration of a high temperature camera housing that is expected to record video into a furnace at 2200 °F ( 1204 °C) while maintaining a surrounding ambient temperature of 86 °F (30 °C) for a minimum duration of 4 hours. The capability of panning the video recording to the top and bottom of the furnace is desired. Thermal Strategies is taking an optical relay approach to decrease the thermal transmission and meet the desired capability through an actuating mirror using a control system.,SWRI (Fire Technologies Department)
36,XORUNNERS,Augmentive Lower Limb Intelligent Exoskeleton (A.L.L.I.E.),"There is a need for a lightweight and modular lower-limb exoskeleton capable of augmenting human leg strength while ensuring comfort, safety, and stability during use. XORUNNERS were tasked with building an affordable, lightweight, modular exoskeleton which could be used as a base of research for ISABEL. The Augmentive Lower Limb Intelligent Exoskeleton, or ALLIE for short, is XORUNNERS' response to ISABEL's request. The minimum requirements for ALLIE were to be lighter than 15 pounds, have at least 2 DoF, and to have a real time operating system through which the exoskeleton can be controlled.  ",Intelligent Systems And Bionics Engineering Lab (I.S.A.B.E.L)
37,American Drone Company 2-Launcher Team,UAV Ground Control Station and Launcher,"This project aims to design a compact, cost-effective launcher that provides sufficient lift for takeoff in various environments while including a workstation for real-time monitoring, control, and data management. The goal is to improve launch efficiency, reduce energy consumption, and enhance overall mission performance. This is accomplished by providing power and angle adjustments to the typical elastic launcher design. Additionally, the inclusion of a customizeable workstation computer with flight controls and long range telemetry will increase the range of utility of UAVs. This project is in collaboration with the Thermal Soaring UAV project, which hopes to increase the endurance of surveying UAVs with novel navigational techniques. 
",
38,American Drone Company 1-UAV Team,Thermal Surveying UAV,"The Thermal Soaring UAV is a large, fixed-wing aircraft designed for the surveying industry, capable of extended flight time by using naturally occurring thermal columns in tandem with integrated solar panels to recharge its battery during flight. By combining thermal energy harvesting with solar recharging, the UAV significantly reduces power consumption and increases endurance for long-duration missions. The design incorporates aerodynamic optimization, advanced materials, and autonomous soaring algorithms inspired by projects such as ALOFT and ArduSoar. This system aims to demonstrate efficient, sustainable, and reliable aerial surveying with minimal reliance on ground-based power resources.",American Drone Company
39,American Drone Company 3-Flight Control Team,Thermal Soaring Endurance UAV,"The Thermal Soaring Endurance UAV develops a long-endurance fixed-wing UAV that harvests solar energy and rides
thermal air columns to execute large-acre agricultural surveys with thermal imaging. The target application is the farming industry, where persistence, low-cost coverage to spot irrigation leaks, crop-stress hotspots, livestock heat
signatures, and equipment issues—missions where battery-only drones lack range. The aircraft
pairs lightweight structure, flexible solar film with MPPT, RTK navigation, and a stabilized
thermal/EO payload. Onboard Jetson processing filters hotspots and geotags them, while power-
gated subsystems and mode-based control (soar, loiter, survey, climb) maximize endurance.
",American Drone Company
40, 5-Men 5-Axis,NextAxis,"The NextAxis is a high-temperature 5-Axis 3D printer that introduces a multi-axis additive
manufacturing system capable of tilting and rotating the print bed to reorient parts during
fabrication. This expanded motion enables printing on multiple planes, reduces or eliminates
support structures, and enhances part strength and surface quality. By overcoming the limitations
of fixed-axis printing, our design aims to make additive manufacturing more efficient, precise,
and material conscious. Traditional three-axis printers, which struggle to create overhangs or
complex geometries without support material, are surpassed by the NextAxis's advanced motion
control and geometric flexibility.",
41,NextGen Frameworks - Team 12,Nueva Nueva Dashboard,"The Nueva Nueva Dashboard aims to validate sensor data to inform strategies for creating more comfortable, walkable corridors along Nueva Street, located in downtown San Antonio. This area is currently underutilized due to environmental conditions that discourage pedestrian activity. The project involves developing an interactive dashboard that integrates data
from environmental sensors to provide analytics related to urban cooling and walkability. Sensors include temperature, humidity, pedestrian count, solar irradiance, air flow, and vehicle traffic cameras. All collected data will be securely stored in a centralized database, with an intuitive interface for administrators to view and analyze trends. Built-in analytical tools will allow users to compare data across different dates and identify potential improvements to
enhance urban walkability.","Anna Morton Rivera, P.E."
42,Nueva Sense,Distributed Sensor Network for Urban Mobility and Climate,"UTSA's Office of Energy and Sustainability seeks to establish baseline data along Nueva Street 
to evaluate how future cooling strategies influence urban comfort and pedestrian behavior. The 
Distributed Sensor Network project addresses this by deploying solar-powered sensor units that 
autonomously collect data on temperature, humidity, irradiance, and pedestrian and vehicle 
activity. Designed for long-term operation, each unit transmits data wirelessly to a central hub, 
providing critical insight into how infrastructure modifications influence microclimate conditions 
and public space usability, supporting data-driven approaches to sustainable urban design.",UTSA – Real Estate & Property Management
43,Automata Manus,Robotic Hand and Arm for Drone Applications,"In collaboration with the UTSA Unmanned Systems Laboratory, the Automata Manus Project focuses on the design and development of a 3D-printed robotic arm and hand capable of performing delicate, human-like tasks such as grasping an egg, turning a page, and lifting a cup. Powered by the Osiris board—originally engineered for drone control and now reconfigured to drive the arm's servos and sensors—the system demonstrates the potential for unifying robotic and aerial control under a single intelligent platform. The project emphasizes lightweight materials, precision motion, and adaptive control to enable safe, efficient, and versatile task automation, laying the foundation for future aerial manipulation systems.",Youngcan Cao
44,Contro Precision Systems,Scaled-Down Physical and Digital Replica of a Distribution System,"The Scaled-Down Physical and Digital Replica of a Distribution System project focuses on designing and developing a compact physical and digital model of an electrical distribution grid. Sponsored by CPS Energy's System Operations &amp; Reliability team, the model serves as an interactive platform for technology demonstrations, operator training, and Fault Location,
Isolation, and Service Restoration (FLISR) visualization. By replicating automated switching,
fault detection, and service restoration, the project enhances technical readiness, education,
and community engagement through a safe, hands-on environment for learning grid automation.
",CPS Energy
45,Flyers,Universal Flight Control System​,"The USL Drone Universal Flight Controller is a modular flight‑control board that
plugs into a wide range of drone airframes and connects to a companion app for
simple, reliable operation. This aims to reduce cost and complexity when mixing
parts from different vendors and to accelerate field deployment for education,
research, and industry. It achieves this through a plug‑and‑play hardware stack,
open interfaces, robust telemetry, and layered safety with expansion ports. The
demonstration will showcase cross‑airframe compatibility, stable flight, and rapid
setup, lowering barriers to advanced UAV use.
",Unmanned Systems Lab
46,Halo,Hemorrhage Detection Application,"The Hemorrhage Detection Application is an Android-based application that connects body-worn sensors to stream and retrieve physiological signals such as heart rate, blood oxygen levels, and blood pressure in real time. The application is designed to be simple and user-friendly, providing easy-to-understand, real-time feedback to help users detect early signs of critical conditions such as hemorrhage, shock, and other trauma-related issues. This system aims to support faster decision-making for both medical and non-medical personnel to improve outcomes in emergency situations. ",United States Army Institute of Surgical Research
47,Patch Perfect,StitchMe,"StitchME is an intelligent wound-closure device designed to assist in rapid, safe, and precise skin repair. Our system integrates an AI-powered vision module with a robotic gantry to analyze wounds and dispense medical-grade skin adhesive with surgical accuracy. Unlike traditional manual methods, StitchME automates the closure process to reduce human error, procedure time, and infection risk. By combining real-time imaging, AI assessment, and precision control, StitchME aims to make wound care faster, safer, and more accessible for medical professionals.
",MakerSpace
48,Radio Heads 5.6,Direction Finding Software Defined Radio (DF/SDR),"This project develops a low-cost, flexible SDR system for real-time direction finding across the 70 MHz–3 GHz spectrum. It integrates a custom switching antenna array, RF front-end, and FPGA-based signal processing to estimate bearing angles. A tailored software interface enables signal visualization, demodulation, and control—supporting research and defense applications in dynamic RF environments.",
49,Rowdy Rapid Response,Blaid,"Junctional hemorrhage is a leading cause of preventable death in combat, often occurring where standard tourniquets fail. To address this, the Rowdy Rapid Response team, in collaboration with the U.S. Army Institute of Surgical Research, developed Blaid, a Junctional Tourniquet Automation Android App. Blaid integrates PyTorch-based AI, live ultrasound imaging, and wireless connectivity to provide real-time feedback on placement, pressure control, and vessel occlusion. Its automated guidance and intuitive interface enable faster, safer, and more accurate hemorrhage control, improving medical response and survivability in high-stress combat conditions.",U.S. Army Institute of Sugrial Research [USAISR]
50,S.M.A.C.K,Close Proximity Flood Detection System,"The Close Proximity Flood Detection System (CPFDS) is a real-time alert system that utilizes a distributed network of microcontrollers to monitor rising water levels and provide early flood warnings. Flooding poses a serious risk to communities, especially those with limited access to comprehensive monitoring systems. The CPFDS integrates ultrasonic and air temperature sensors, GPS location data, and a camera to deliver alerts directly to a central hub with a siren and floodlight to immediately notify users and first responders that a flood event is occurring.
",David amori
51,Sunny Boys,SunSpot,"The SunSpot is a compact, on-site solar assessment device designed to measure and optimize solar panel performance. Through a mobile-friendly app, it collects key data such as solar efficiency, power output, and optimum inclination. Addressing the lack of affordable on-site solutions for consumer and low-end commercial markets, the system employs UV sensors and an onboard computer to automatically determine and adjust panel angles for maximum sunlight capture. The Sun Spot enables homeowners and professional installers to evaluate and enhance solar panel efficiency both before and after installation.",Dr Guo
52,Sunny Squad,Low-Light Detection Rover,"Low-light Detection Rover is an autonomous rover system built for nocturnal
wildlife monitoring. Current nighttime observation methods are limited, often
resulting in incomplete data. To solve this, the rover integrates infrared sensors, LiDAR, and a dual-mode day/night camera for reliable environmental perception. Advanced AI algorithms process sensory data in real time to detect, classify, and count animals in the dark. By enabling continuous, accurate, and automated monitoring during nocturnal hours, the system enhances ecological research and conservation. This innovative solution allows researchers to better understand animal behavior, track population changes, and gather critical data even in low-visibility nighttime conditions.",N/A
53,Team 16 ,MyoPack Wearable EMG & Pyroelectric Device​,"The MyoPack Wearable EMG &amp; Pyroelectric Device is designed to enhance physical therapy by detecting and visualizing muscle activation in real time. Targeting patients recovering from injuries such as spinal or lumbar trauma, the device uses multi-channel EMG and pyroelectric sensors to map muscle coordination and reveal imbalances early. Its lightweight, belt-worn design features Bluetooth connectivity, LCD visualization, and affordable components. By integrating embedded firmware and data analysis software, MyoPack aims to improve rehabilitation outcomes, reduce reinjury risk, and accelerate patient recovery through immediate, data-driven feedback.​

​",
54,Ultra,System of Ultra Sound property analysis,"The Phantometrics is developed to address the lack of standardized methods for
measuring the attenuation coefficient of ultrasound phantom materials across multiple frequencies. Currently, research laboratories must create their own processes and testing methods, leading to inconsistent results. The Phantometrics provides a low-cost, easy-to-use, and accurate system for ultrasound property analysis. By maintaining fixed testing conditions, it ensures consistency and repeatability when gathering data across a
frequency range using multiple phantoms. The system operates by receiving a waveform signal, transmitting an ultrasound wave through a piezoelectric transducer, capturing the reflected waves with the same transducer, and processing the resulting signals to display relevant acoustic property data.
",United States army institute of surgical research
55,YetiLink,YetiLink,"YetiLink is an FPGA-based system that connects satellites under test to ground support
equipment by converting high-speed LVDS telemetry into standard Ethernet data. Built on a
Microchip PolarFire FPGA, it handles data rates up to 655 Mbit/s with adjustable speeds and
supports both HDLC and CCSDS protocols. The system ensures reliable, error-checked
communication and provides real-time monitoring through a Linux-based GUI. YetiLink
improves spacecraft testing by offering a fast, accurate, and scalable interface for validating
satellite telemetry before launch.",Southwest Research Institute (SwRI)
56,The Eye Council,Neuro-Eye Selector,"The Neuro-Eye Selector (NES) is an assistive, hands-free computer control device developed to enhance accessibility for individuals with physical disabilities and appeal to technology enthusiasts. It integrates eye-tracking and brain–computer interface (BCI) technologies, allowing users to move a cursor using eye movements and perform click actions through brain signal detection. Unlike existing systems, the NES is affordable, lightweight, and easy to set up, offering both Bluetooth and USB-C connectivity. With a battery life of 6–8 hours and built-in calibration software, the NES provides a practical, portable, and user-friendly solution for hands-free computing.",Michael Ruffalo
