PosterID,TeamName,ProjectTitle,ProjectAbstract,SponsorName
12,Team 9,Point of Care Device,"The Point of Care Device is designed to assist combat medics by providing real-time
respiratory analysis for patients experiencing hemorrhagic shock during blood
transfusions in the field. Housed in a compact, lightweight enclosure, the device uses a
microcontroller interfaced with flow, oxygen, and carbon dioxide sensors to measure
breath composition and volume. Readings are displayed on a front-facing OLED for
quick reference, allowing medics to determine when sufficient transfusion has been
achieved. Additional features include removable battery packs, capacitive navigation
buttons, and active “dead-air” removal to ensure accuracy and reliability. The design
emphasizes portability, data precision, and cost-effectiveness for field deployment.",Evan Ross
13,Yingineers,Taiji Toy Custom Collection Process Automation,"The TaijiToy Custom Tailored Collections project uses AI to
automate and streamline the order process for the online
store, Taiji Toy Custom Collection. Our new system
replaces the slow, manual method, making customer
ordering significantly faster and easier. Our full-stack
application includes a JavaScript front-end for requests,
with a Node.js server connecting to the AI. From there, a
PHP backend manages data and sends it to an SQL server
for order completion. The result is personalized order
creation that is fully automated, reducing manual work and
improving the customer's experience.",Steve Brown
14,The Growers,Automated Plant Care System,"The Smart Hydroponics System is a self-sustaining, automated platform designed to simplify indoor gardening and ensure healthy plant growth. The system eliminates the guesswork of environmental control by automatically maintaining ideal growing conditions for each plant. An embedded ESP32 microcontroller continuously tracks key factors like water pH, nutrient concentration, and temperature in real time, sending this data to a cloud server. The server applies plant-specific parameters to make precise adjustments — adding nutrients or pH buffers as needed and adjusting the grow light’s brightness and height. Through an intuitive dashboard, users can easily monitor progress, receive important alerts, and step in only when human input is required.",
15,FLAZ,FLAZ Lift,"The FLAZ Lift is a custom-designed recumbent trike lift developed for a veteran’s pickup truck, in partnership with Project Serve. This device enables safe, efficient loading and unloading of a recumbent trike using a rotating arm, arm extension, and an electric winch. Controlled wirelessly via remote, the lift minimizes physical effort while maximizing accessibility and ease of use. Designed with durability, safety, and user independence in mind, the FLAZ Lift provides a compact, reliable solution tailored to the specific needs of adaptive mobility and veteran support.",Project S.E.R.V.E.
16,BlackBox Systems,Flight Dynamic Visualizer - 2,"The Flight Dynamics Visualizer (FDV-2) is a project contracted to SwRI by the Airforce Academy for cadets to learn about data recording on their flight systems and general avionics. This second-generation device, developed by the BlackBox Systems team, will provide real-time visualizations of the forces acting on an aircraft during various flight conditions, demonstrating the impact of changes in speed, altitude, and orientation. Equipped with advanced sensor technologies and an intuitive interface, the FDV-2 enables cadets to explore complex aerospace 
engineering concepts through practical, hands-on experience. This tool is designed to be portable and user-friendly, making it ideal for facilitating a comprehensive learning experience allowing cadets to apply theoretical knowledge in a controlled environment.",Southwest Research Institute (SwRI)
17,Blind Genie,The Blind Genie,"The Blind Genie device is a motorized system designed to retrofit existing blinds, enabling cordless operation through a bottom-mounted enclosure housing a controlled spool mechanism. This retrofit window blind controller would be an affordable option to make every day ordinary window blinds fully automatic
and responsive. The system integrates a NEMA 8 stepper motor with an integrated 10:1 Gearbox, microcontroller, double spools, guiding pulleys, and a cord-driven lifting mechanism to smoothly raise and lower the blinds.",N/A
18,Lil’ lungs , Lil’ Lungs Pediatric Solutions," The project is to design adjunct devices to improve pediatric chest tubes. Chest tubes are inserted into a patient's chest wall and positioned into the pleural space to evacuate fluids from inside a patient's chest, which is often done post thoracic surgery. This device will be designed to attach to premade pediatric chest tubes to help alleviate common issues providers have with the device, including: accidental tube removal caused by patient movement and inadequate securement methods, and line kinking which prevents proper suction and causes fluid buildup inside the chest.",Medical Design and Innovations Lab 
19,GearWorks,In Process Quality Visual Control System for Military Chin-Strap Production,"This project focuses on improving the accuracy and accessibility of a fabric spool cutting machine used in the production of chin straps for military helmets. The existing system produced inconsistent fabric lengths, leading to material waste and inefficiencies. To address this, Team GearWorks designed and implemented a low-cost, camera-based measurement and quality control system integrated with a Raspberry Pi. The upgraded machine features a custom-built fabric tensioner, automated sorting mechanism, and an operator-friendly interface designed to accommodate visually impaired operators. Through systematic testing and process improvements, the redesigned system enhances cut-length consistency, reduces rework, and improves overall production reliability while maintaining affordability and simplicity for the manufacturer.",Analisa Roland
20,LiftWorks,B.E.T.A.,"The purpose of the project is to meet customer needs and requirements by devising a low-cost load sensor attachment designed to monitor activity and workload to lower the cost and frequency of maintenance schedules. The attachment will use a load sensor to measure the load and then transmit data wirelessly via Wi-Fi to a system for analysis. This system will display only whether the drum is full or empty, any drums containing less than 50-gallons will be determined as empty. By automating this identification process warehouses and manufacturing facilities will better manage the workload in each forklift by enhancing proactive maintenance, preventing unexpected breakdowns and costly repairs.",
21,n/a,none,Creating a poster for presentation at the tech symposium.,n/a
22,Ride the wave,Wave energy generator,"The purpose of this project is to research and develop a charging station for underwater drones by means of gyroscopic power generation.  The project will be placed into a body of water that is subject to wind. As the wind deposits energy in the water as waves, our project harnesses that energy.",Dr. Gonzalez 
23,Road Runner One Engineering Group,Next Generation Molten Metal Safety,"The Roadrunner One Engineering group will build upon the 2024 Team Auto Rotating Caster project by fully deploying an Auto rotating bottom pouring casting device. This system, remotely controlled and capable of automatic rotation. The project will focus on improving user safety by allowing remote pouring, as well as minimizing the risk of injury and molten metal exposure. Additionally, the quality of the final product will be enhanced through the precision offered by the bottom-pour technique, which will be demonstrated through mold cooling rate surveys and compared against predicted cooling rates. This project will address key industry challenges like safety, efficiency, and precision in casting operations. The material being used for demonstration at the symposium is gallium. Due to its low melting point and non-toxic nature gallium is safe for demonstration at the symposium. ",Dr. Axler
24,P.A.M.S Innovators,InfraRedy for The Road,"This project presents the design and development of a thermal enclosure built to protect and cool a thermal camera used for testing vehicle components under high-temperature conditions. The enclosure features an integrated cooling system designed to regulate internal temperatures while allowing accurate thermal readings. Through prototype testing like temperature control, material comparison, and humidity evaluation, the system’s effectiveness and reliability are analyzed. The goal of this project is to ensure the camera operates safely and efficiently in extreme environments, supporting more accurate data collection during long-duration vehicle testing.","International Motors,LLC"
25,Team 09 - Totally Tubular Technologies,CNC Plasma Tube Cutter,Designing and Manufacturing a CNC tube cutter for the use of the UTSA Formula Society of Engineers student organization to be used for manufacturing their chassis tubes in house.,UTSA FSAE
26,Rowdy Industries,Lilypad,"Lilypad is an autonomous system designed to provide wireless charging solutions for underwater vehicles through solar power. The design integrates solar panels with a compact battery system to ensure consistent energy storage and delivery in marine environments. Developed through iterative testing and practical engineering methods, the project emphasizes reliability, sustainability, and adaptability. While simple in form, the system effectively demonstrates how innovative design and renewable technology can support long-term underwater operations with minimal maintenance requirements.
",Cody Gonzalez
27,SARJ Solutions,Hyperthermia Control System,A vest designed to prevent combat soldiers from getting hyperthermia by utilizing an endothermic reaction to create a cold fluid that runs through a series of channels via a pump.,Dr. Lyle Hood
28,Tetra Eidos,Mokume Gane Engineering Analysis,"The project consists of stacking different nonferrous metals together, forge welding them, and twisting them to achieve a twisted Damascus like pattern. Once this has been achieved, various tests will be achieved to determine if the materials bonded correctly and to check for durability, corrosion resistance, tensile strength, and impact resistance. This would ensure that the process went smoothly allowing for scientific confirmation of the fusing of materials. A group of materials will be heat treated alongside the original to compare the results of said treatment.  

 ",
29,Shockwave Riders,Low Altitude Hypersonic Glide Vehicle ,"This project aims to design a low-altitude unpowered hypersonic glide vehicle capable of gliding at Mach 5–8. This project aims to achieve a high lift-to-drag ratio  and utilize lightweight thermal-protected structures for sustainable hypersonic flight without onboard propulsion. The design integrates stability, control, and manufacturability analyses to meet gun-launched or wind-tunnel-testable conditions, optimizing range, affordability, and system robustness in challenging hypersonic flight conditions.",N/A
30,T.R.I.B.E,Long Stroke Reciprocating Drive,The purpose of this project was to design a friction testing apparatus to revive the withdrawn ASTM D2877 standard. This standard was designed to test lubricants on slideway systems that have high loads at low linear speeds. This device will help develop lubricants for this type of mechanical application within the manufacturing industry and many others. ,SwRI
31,The A-Team,Robotic Loading Manipulator,"This project is jointly sponsored and funded by Southwest Research Institute’s (SwRI) ballistics department and Protection Engineering Consultants. The purpose of this project is to remove the human bottleneck of loading approximately 300 µm spheres into barrels for use in small-scale ballistic testing. To remedy this bottleneck, the A-Team has been tasked with creating an autonomous loading system that is not only faster at loading each sphere, but more precise and allowing the engineers to expedite their testing timelines. The apparatus will not only autonomously load each sphere into the barrels, but they will be greased prior to loading and a picture will be taken to explicitly show the engineer each sphere has been loaded properly. ","SwRI , PEC"
32,League of Liquids,Liquid Bi-Propellant Rocket,"The UTSA Liquid Bipropellant Rocket Senior Design Project aims to design, build, and test a pressure‑fed liquid rocket engine using safe, storable propellants and a compact ground test stand. The system integrates a bipropellant feed, injector assembly, combustion chamber, and nozzle designed through thermofluid analysis and iterative modeling. The project emphasizes hands‑on propulsion testing and data acquisition to evaluate engine efficiency, injector performance, and thrust output. This effort establishes the foundation for future in‑house liquid propulsion development at UTSA and advances student experience in aerospace propulsion systems.",Dr. Daniel Pineda
33,Ironcore Engineering,Roadrunner Stop Gas Station &amp; Car Wash,"Roadrunner Stop Gas Station &amp; Car Wash is a new commercial development located on the northwest side of San Antonio. It has been strategically placed on one of the city's busiest corridors, Bandera Rd., to meet the growing demand for reliable fueling services. This project will take place on a 2.00-acre site that will feature a self-serve 12-pump fuel station, a convenience store offering snacks and more, and a fully automated car wash on the back end of the property. The development is designed to provide an efficient and modern experience for residents and commuters.",
34,AR Engineers,Development of Alamo Plaza,"The development of Alamo Plaza is located along the newly constructed Alamo Ranch and Galm Parkway intersection, and it will feature a 45,000 square foot building and a 1.04-acre park with multiple amenities. The 45,000 square foot building will help invite commercial and retail businesses to set up shop in the growing area of Alamo Ranch. The park will feature amenities such as a hiking trail in the shape of the historical Alamo, four sports courts, and a playground. The purpose of this project is to introduce attractions to Alamo Ranch’s growing community. ",
35,Landmark Civil Solutions,Development of Sideliners Grill,"Landmark Civil Solutions is excited about the opportunity to play a role in transforming 19100 Redland Road in San Antonio, TX, into the future home of the proposed Sideliners Grill. We see this project as more than just a development and as a chance to help create a vibrant destination where the community can gather, enjoy delicious food, and build memories. Our team takes pride in being part of projects that not only meet technical standards but also add value and character to the surrounding area.",n/a
36,Lannor Engineering,West San Antonio Public Library,"The West San Antonio Public Library project involves designing the civil engineering scope of work for a 15,000-square-foot single-story facility and associated parking lot located along N. Ellison Drive in San Antonio, Texas. The site will include outdoor areas featuring a concrete patio with benches and walkways, as well as landscaped green spaces for picnics and a playground. The library itself will feature open reading and study areas, private study rooms, computer labs, a multipurpose room, and office spaces for staff.",
37,SquareTech,Mesquite Square,"Third places are informal public gathering spaces that exist outside of the home and workplace, playing a vital role in fostering community connection, social interaction, and civic engagement. These spaces are often characterized as accessible, welcoming spaces that act to serve the immediate community they are located within. 

The Proposed Mesquite Square development will serve as a community hub that does not pertain to work or home. Much of the surrounding area consists of commercial and residential development. Situated at the southeast corner of Potranco Road and Ingram Road, this location will consist of a restaurant and bar with a large gathering space in between, bringing about a unique alternative to the many common retail and fast-food developments along Potranco Road. 

Although driveways and a parking lot will be integrated with this location, the proposed development will also aim to make it more accommodating for other modes of transportation to and from its location. Pedestrian walkability from nearby residential areas will be provided, and there is an existing VIA bus stop along the north end of the development. ",
38,Lone Star Engineering,Leon Valley Baptist Church Recreation Center,"Lone Star Engineering is assisting Leon Valley Baptist Church in developing a new recreational center that will serve both the congregation and the surrounding community. The facility will feature indoor basketball and pickleball courts, multipurpose rooms, offices, locker areas, and outdoor amenities such as tennis and sand volleyball courts. Designed with ADA accessibility, fire safety, and weather resilience in mind, the project emphasizes long-term usability and comfort. The site layout supports future expansion while strengthening connectivity along Grissom Road, aligning the church’s vision with community engagement and sustainable development.",
39,Marvel Engineering Consultants,César Chávez Multi-Development Phase 1 ,"The César Chávez Multi-Development Phase 1 project is a mixed-used commercial and residential development located at 1206 Cesar Chavez Blvd. in San Antonio, Texas. Designed by Marvel Engineering Consultants, the projects consists of the first half of a four-story commercial and apartment building and a 120-space parking lot across a 3.53 acre site. The building consists of retail spaces on the first floor and residential units above. Phase 1 of this projects includes grading, utility design, drainage planning, permitting, and traffic control. ",
40,Design and Deadline Engineering,STEM Academic Development Center “Innovation Labs”,"The proposed development will be located on a vacant 10.86-acre parcel at the corner of Eisenhauer Road and King Arthur Drive in Windcrest, Texas. The site is currently undeveloped and offers flat terrain suitable for construction. The project will feature a modern STEM facility inspired by the Maker Space at UTSA. What sets this project apart is its unique role to serve as both an educational hub and a community resource. This groundbreaking facility is designed to inspire creativity, innovation and collaboration amongst the youth in the local community. Innovation Labs will go beyond the traditional classroom by offering hands on learning in robotics, coding, engineering design, and other STEM focused activities.",
Outside 1,PowerLink,Smart IoT Based Battery Management System (BMS),"Powerlink has developed a compact Smart Battery Management System (BMS) for multi-cell Li-ion packs with integrated app and database support. It provides real-time monitoring of cell voltages, pack current, and temperatures; accurate state-of-charge/health estimates; automatic cell balancing; and fast protections for
over/under-voltage, over-current, and thermal faults. The mobile app displays
live telemetry, configurable alerts, and basic tuning, while a secure database
records trip and diagnostic data for historical analysis. Powerlink is
mechanically and electrically integrated into an e-scooter using clean
harnessing and drop-in mounting, enabling on-vehicle demonstration of
startup/shutdown sequencing and fault handling.​",N/A
Outside 2,JJR INNOVATIONS,Force and Moment Roadway Reconditioning Station,"This project presents the design and evaluation of the Force and Moment Roadway Reconditioning Station, developed to enhance belt maintenance efficiency by reducing total downtime from six hours to three. The system integrates a structural frame and support assembly engineered for stability, safety, and ease of operation. Testing conducted in Fall 2025 focuses on validating the mechanical integrity and ergonomic performance of the Base, Vertical Support, Drums, and Horizontal Support components. A future phase scheduled for Spring 2026 will incorporate and assess the heating subsystem, completing the station’s development toward full operational functionality.",Continental
Outside 3,Pneu Kids on the Block,M.A.S.S. (Multi Axial Seal Spreader),"Team 10 was tasked by Valkim technologies to develop a mechanism to work in conjunction with Valkim Technologies’ pre-existing pneumatically operated arm and rover, with the purpose of opening the secondary seal on external floating roof oil tanks, to inspect the primary seal of said tanks. The mechanism designed is the Multi Axial Seal Spreader (designated the M.A.S.S.), a mechanism designed to insert into the secondary seal with the help of an actuator, expand the seal with the help of two internal airbags, and inspect the primary seal using a zone 0 certified camera.",Valkim Technologies
