TeamName,ProjectTitle,ProjectAbstract
Team 9,VO2/VCO2 Point of Care Device,"The VO2/VCO2 point of care device is designed to assist field medics by providing real-time respiratory analysis for patients experiencing hemorrhagic shock. Housed in a small, lightweight enclosure, the device utilizes a microcontroller interfaced with a flow sensor, a VO2 sensor, a VCO2 sensor, and an OLED display to output patient respiratory data. Additionally, it is battery-operated with optional wall-adapter support for flexibility and redundancy. The device design is centered around reliability, data accuracy, portability, and cost-effectiveness."
The Growers,Automated Plant Care System,"The Automated Plant Care System is a smart, self-sustaining solution designed to simplify indoor gardening through automation. It monitors critical plant conditions including hydration, temperature, humidity, light intensity, and pH levels using integrated sensors. The system features a motorized grow light that adjusts height based on plant growth via proximity sensing. Controlled through a mobile or web app, users can remotely manage watering, lighting, and nutrient delivery. Ideal for home gardeners and busy individuals, this system ensures optimal growing conditions with minimal effort, promoting healthier plants and increased user convenience. "
The Powerlink Innovators,Smart IoT-Based Battery Management System (BMS),"PowerLink Innovators is developing ChargeSync, a Smart Battery Management System (BMS) that improves battery efficiency and troubleshooting for electric vehicles. Traditional battery diagnostics are time-consuming and inefficient, leading to costly downtime. ChargeSync solves this by providing real-time monitoring, automated diagnostics, and predictive maintenance. Using Bluetooth Low Energy (BLE) for mobile connectivity, predictive analytics models for anomaly detection, and cloud-based monitoring, ChargeSync detects issues like overcharging and battery degradation before they become critical. Designed for scalability and ease of use, ChargeSync enhances battery reliability for both personal and industrial applications
"
Yingineers,Taiji Toy Custom Collection Process Automation​,"The system's goal is to automate the design process for Taiji Toy custom kits. A Taiji Toy is a 3D ying and yang sphere. Each toy represents a pair of personality traits, and the kit contains 6 toys. To create a kit, a personal profile is created by an interview with the customer detailing their personality, values, and aspirations. This process can be automated using an online survey and sending results to AI via an Application Programming Interface (API). The AI model will return generated personality traits/colors and a personal note to the website so the user can view the results instantly. "
AquaPad Dynamics,LilyPad,"This project focuses on the development of a solar-powered charging dock for unmanned underwater vehicles (UUVs). The system is designed to harness renewable solar energy, store it in lithium-ion batteries, and wirelessly transfer it to the UUVs through inductive coupling. The dock will feature efficient energy conversion, reliable and safe charging mechanisms, and long-term durability in marine environments. The primary objective is to enable autonomous and sustainable operation of UUVs by providing a secure, scalable, and low-maintenance docking solution. This system aims to support extended missions with minimal human intervention while maintaining energy efficiency and environmental resilience. "
BlackBox Systems,Flight Dynamics Visualizer - Gen 2 (FDV-2),"The Flight Dynamics Visualizer (FDV-2) is a project contracted to SwRI by the Airforce Academy for cadets to learn about data recording on their flight systems and general avionics. This second-generation device, developed by the BlackBox Systems team, will provide real-time visualizations of the forces acting on an aircraft during various flight conditions, demonstrating the impact of changes in speed, altitude, and orientation. Equipped with advanced sensor technologies and an intuitive interface, the FDV-2 enables cadets to explore complex aerospace engineering concepts through practical, hands-on experience. This tool is designed to be portable and user-friendly, making it ideal for facilitating a comprehensive learning experience allowing cadets to apply theoretical knowledge in a controlled environment.
"
Blind Genie,Blind Genie,"The ""Blind Genie"" is a smart window blind controller designed to be a cost-effective, retrofit solution for existing blinds and shades. Unlike existing smart blinds on the market, which often require full replacement and can be expensive, Blind Genie aims to provide an affordable add-on alternative to your existing blinds. This system integrates IoT (Internet of Things), wireless connectivity, control systems, and mechanical components to enable seamless automation and manual control.
The system will allow users to control window blinds automatically based on preferences and environmental conditions or manually via smart home devices. By focusing on affordability and retrofit capability, the project aims to create a solution accessible to a wider audience, including homeowners and businesses.
"
FLAZ,FLAZ Lift ,"The FLAZ Lift is a motorized assistive device designed for a QL+ sponsor and tailored specifically to help a veteran load a recumbent trike into a pickup truck independently. Utilizing a wireless-controlled winch and linear actuator system, the lift ensures ease of operation and reliable performance. Its corrosion-resistant materials and weatherproof housing provide long-term durability in outdoor conditions. While developed for a specific user and use case, the FLAZ Lift’s modular and robust design makes it adaptable for broader loading and lifting applications, offering potential solutions for others with similar mobility challenges."
JJR Innovations,Force and Moment Roadway Reconditioning Station    ,"This project proposes the design of a Force and Moment Roadway Reconditioning Station for Continental Tire’s MTS Flat-Trac machine to improve the current inefficient manual process of replacing sandpaper on testing belts. Presently, technicians require approximately six hours to inspect, remove, and reapply specialized 3M sandpaper without dedicated equipment. The proposed station features an ergonomic steel frame designed to support the belt during maintenance, along with a precision rack-and-pinion system to properly tension the belt—validated through Abaqus FEA simulations. Rotational shafts with mounted bearings at both ends enable free belt movement for thorough inspection. The system incorporates optional lighting and a heating element using controlled conduction heat transfer to facilitate adhesive removal. Critical safety measures include full machine guarding, hazard labeling, and emergency stop functionality, all compliant with ASME, ASTM, OSHA, and ISO standards. By prioritizing operational efficiency, technician safety, and regulatory compliance, this design significantly advances the reconditioning process. Next steps involve prototyping and performance testing to validate the system’s effectiveness."
League of Liquids,"""Jinx"" Liquid Bi-propellant Sounding Rocket","The League of Liquids team has been tasked with designing, building, testing, and launching a Bi-propellant sounding rocket using nitrous oxide and ethanol propellants to an altitude of ~10,000 ft AGL. This involves designing both the flight vehicle ""Jinx"" and the rocket engine ""Miss Fortune"" By taking on this project, LoL hopes to bring liquid propulsion research to UTSA and inspire future students to continue pushing the boundaries of student built sounding rocket technologies. If successful, ""Jinx"" could become the first liquid bi-propellant rocket launched by a Texas university team."
LiftWorks,B.E.T.A,"The purpose of the project is to meet customer needs and requirements by devising a low-cost load sensor attachment designed to monitor activity and workload to lower the cost and frequency of maintenance schedules. The attachment will use a load sensor to measure the load and then transmit data wirelessly via Wi-Fi to a system for analysis. This system will display only whether the drum is full or empty, any drums containing less than 50-gallons will be determined as empty. By automating this identification process warehouses and manufacturing facilities will better manage the workload in each forklift by enhancing proactive maintenance, preventing unexpected breakdowns and costly repairs.    "
Lil’ Lungs,Lil’ Lungs Pediatric Solutions,"The project is to design adjunct devices to improve pediatric chest tubes. Chest tubes are inserted into a patient's chest wall and positioned into the pleural space to evacuate fluids from inside a patient's chest, which is often done post thoracic surgery.
 This device will be designed to attach to premade pediatric chest tubes to help alleviate common issues providers have with the device, including: accidental tube removal caused by patient movement and inadequate securement methods, and line kinking which prevents proper suction and causes fluid buildup inside the chest. "
P.A.M.S Innovators,FLIR Camera Cooling & Positioning System for Automotive Testing ,"Research, design and testing of a cooling and mounting system for the FLIR A070 thermal camera used during vehicle testing at International's Thermal Management Validation department. The objective is to protect the camera from overheating while ensuring it is able to provide 360 view. The system will incorporate both passive and active cooling techniques and be able to withstand wind speeds and vibrations. This solution will directly support International’s efforts in early fault detection, reduce in downtime and perform predictive maintenance for truck components."
Ride the Wave,LilyPad,"The Lilypad is a floatable charging station that uses a gyroscopic generator to harvest the kinetic energy from the waves and directly turn it into electricity, storing it inside of internal battery cells. Using induction charging to transfer the generated energy into unmanned underwater vehicles (UUVs), aka drones, to reduce the task of having to completely remove the drone from the water to recharge and replace its battery during extended underwater operations."
RoadRunner One Engineering Group,Auto Rotating Bottom Pour Casting Device ,"The Roadrunner One Engineering group will build upon the 2024 Team Auto Rotating Caster project by fully deploying an Auto rotating bottom pouring casting device. This system, remotely controlled and capable of automatic rotation, will be tested at high temperatures to ensure safe, efficient, and precise metal casting. The project will focus on improving user safety by allowing remote pouring, as well as minimizing the risk of injury from high temperatures and molten metal exposure. Additionally, the quality of the final product will be enhanced through the precision offered by the bottom-pour technique, which will be demonstrated through mold cooling rate surveys and compared against predicted cooling rates. This project will address key industry challenges like safety, efficiency, and precision in casting operations. "
SARJ Solutions ,Hyperthermia Control System,SARJ solutions aims to provide a wearable heat exchanger to prevent hyperthermia and heat related illnesses. Hyperthermia is defined as exceedingly high body temperature for a prolonged period of time that can lead to health complications and death if left untreated. This design is intended to provide quick field treatment for hyperthermia by lowering the body’s core temperature using a cooling suit that doesn’t require external resources to operate The suit will be using a battery powered pump that will cycle a cooled fluid through thermoplastic tubing around the body and lower the body temperature.
Streamline Syndicate,FSAE Car Aero-Package,The primary purpose of this project is to design and implement an aero package for the Formula SAE race car (FSAE). The goal is to evaluate the needs of the team and the vehicle to utilize an aero package to improve competitive performance. 
T.R.I.B.E (Tribology Research and Innovative Benchmark Engineering),Long Stroke Reciprocating Drive ,"The objective of this project is to design a Long Stroke Reciprocating Drive module for the Bruker UMT TriboLab to enable long stroke stick-slip friction testing compliant with ASTM D2877 standards. The new module must follow the core functionality of the original Fives Cincinnati test rigs produced by the Cincinnati Milling Machine Co. (later Cincinnati Milacron), which were used to evaluate the stick-slip characteristics of lubricants applied to machine tool slideways. The design integrates with the existing Bruker UMT TriboLab system and applies its rotary drive module to achieve the required stroke length and test speeds.
The revised rig supports a range of standardized test parameters outlined in ASTM D2877, including block dimensions, test loads, and rubbing velocities. It also incorporates modern data acquisition capabilities and safety features provided by the TriboLab system. The design allows for flexibility to accommodate custom test requests from Southwest Research Institute (SwRI) clients, addressing the need for long stroke testing that the current TriboLab configuration does not support.
"
Tetra Eidos,Mokume Gane Fabrication and Analysis,"Our project will be analyzing the mechanical properties of different non-ferrous metal compounds known as Mokume Gane while designing the fixtures and torque mechanisms required to forge and twist the compound. Tests to be performed include but are not limited to charpy impact test, calculated ductility, corrosion resistance, average hardness testing, and micro grain structure viewing. The final result will be different Mokume Gane compounds with the intent of comparing tests results to individual materials and possibly streamlining this as a material science project for future use at UTSA."
The A-Team,Robotic Loading Manipulator,"This project aims to develop a microcontroller-based robotic manipulator designed to handle and load microspheres, enhancing the efficiency of the firing process for a laser-fired projectile launcher. Key objectives of this project include designing and developing the robotic manipulator, implementing advanced programming with both forward and inverse kinematics for precise manipulation, and engineering a delicate yet accurate end effector for projectile handling. The goal is to provide SwRI’s dynamics department with a highly optimized and reliable device that improves testing procedures, enhances productivity, and upholds stringent safety standards. "
Totally Tubular Technologies,CNC Plasma Tube Cutter,"This CNC plasma tube cutting machine is purpose built for the use of the UTSA Formula Society of Automotive Engineering team. The machine will operate with 2 axis of movement: the Z axis for linear movement, and the C axis for rotational movement. The machine should be affordable, compact, accurate, durable and easy to operate. This will allow the student organization to manufacture their tube frame (or space frame) chassis in house, which will save the team money year-over-year, educate student engineers on CNC operations, and allow for time efficient chassis construction.
"
Triple A&M,S.I.D,Triple A&M will design a pneumatically powered robotic arm that will open and inspect seals found in external floating roof (EFR) oil tanks. The Seal Inspection Device (S.I.D) will be integrated with Valkim's generation 1 pneumatically powered rover and will operate in a Zone 0 hazardous environment. The current method of seal inspection for EFR oil tanks is a visual inspection performed by a human inspector. The S.I.D aims to reduce human risk and reduce the cost required to perfrom EFR oil tank seal inspections.
UTSA GearWorks,Automation and Quality Enhancement for Military Textile Cutting,"This senior design project, in collaboration with Vibrant Works, aims to enhance the efficiency and accuracy of the HC-380 fabric cutting machine used in military textile production. The current system suffers from inconsistencies in strip length, leading to defects and increased operational costs. To address these challenges, our team will integrate automation, sensor technology, and an in-process quality control (IPQC) system to improve precision while ensuring accessibility for visually impaired operators. The solution will involve modifying the cutting mechanism, optimizing feed rate control, and implementing a real-time inspection system to detect and prevent defects, ultimately improving production quality and reducing waste."
